"Business_Failure","Revenue","Net_Profit","Debt_Ratio","Market_Share","Age_of_Business","Location_Type","Customer_Satisfaction","Innovation_Index","Rent_Cost","Regulation_Compliance","Number_of_Employees","Social_Media_Followers","Number_of_Branches","CEO_Tenure","Local_Unemployment_Rate","Global_Economic_Growth","Industry_Average_Profit_Margin","Company_ID","Median_Work_Experience"
0,1941873.967,30722.61105,0.2,0.145486391,10,"Urban",3.124804187,66.48333384,48877.29167,1,315,8482,16,6,1.68690055,2.151918707,26.97655991,61,15.46
0,5418115.599,379622.3866,0.25,0.296081888,23,"Suburban",1.395493371,88.30842519,16625.24189,1,325,516343,18,17,7.107004278,-4.25216744,6.45697628,62,14.9
0,8846282.717,1412074.017,0.95,0.226616239,21,"Urban",4.248718349,41.52952399,76668.07602,1,418,897528,8,2,15.50747345,4.171754351,10.60447439,63,16.78
1,7283449.105,1133096.926,0.2,0.07533286,11,"Rural",4.464092763,29.69818727,49774.7587,1,167,495973,42,8,19.24391794,2.415401369,12.48753699,64,2.14
0,8003940.918,1357706.839,0.29,0.161980099,12,"Suburban",1.688674754,2.436994358,34560.40305,1,123,539453,16,4,6.24659191,-1.64507794,18.00040063,65,12.58
0,6540504.743,654361.0119,0.12,0.297648556,12,"Rural",4.402046608,57.90906475,15543.98199,1,74,347714,11,10,5.683810164,-1.370612208,27.65837315,66,11.91
1,6938099.818,685900.0013,0.48,0.257401652,0,"Urban",4.511389244,40.82520198,55663.92187,0,239,14525,6,7,11.70871513,0.064960962,12.44163704,67,5.62
0,8404547.144,538881.0835,0.59,0.030112701,23,"Rural",3.197714449,38.09027268,75528.88558,1,249,799643,1,4,16.42199409,-1.390305864,3.00543238,68,19.31
1,2488637.766,90075.28899,0.84,0.212205227,9,"Rural",3.624716145,19.11059681,28917.93592,1,263,171971,12,16,15.18398796,2.834685514,11.09057498,69,17.82
0,5046082.903,398903.4385,0.31,0.104328296,2,"Urban",2.52894928,43.57547917,22660.64081,1,252,577645,38,14,11.63921915,4.747369441,6.512476965,70,9.85
0,2144691.103,83212.58514,0.4,0.003087696,23,"Rural",2.12716659,98.4597534,52671.56144,1,357,910522,28,16,12.99640395,0.845215154,19.90145989,71,15.05
1,9849447.924,667517.5071,0.84,0.12164081,3,"Urban",3.887932588,30.47766121,16378.98695,0,111,716637,45,9,5.599880189,-0.539626723,1.848601166,72,6.74
1,9389349.388,1155572.948,0.87,0.071191572,15,"Suburban",4.447500596,60.37073693,66994.72527,0,180,914345,17,4,9.218911035,-2.772258597,9.465969161,73,2.05
0,389632.9889,-63680.02113,0.38,0.245841912,7,"Urban",3.616310212,77.87220125,60929.01917,1,188,343290,1,6,5.851946904,1.534334192,16.81003171,74,12.19
0,7041288.117,1363801.684,0.5,0.101861852,15,"Urban",3.046362443,75.16662449,9621.12291,1,308,824383,32,1,17.80394152,1.855768618,9.042691975,75,19.05
1,9219752.629,1578230.592,0.37,0.248429584,16,"Suburban",1.635699067,33.54865446,4615.517559,1,207,533204,8,7,3.13853564,1.85190607,16.97886322,76,2.19
1,1806132.46,165854.0465,0.93,0.001178784,18,"Urban",1.21383485,61.47514827,62408.57661,1,234,471169,40,1,13.9150706,-4.730149641,4.326657343,77,0.31
1,5715433.133,583990.1548,0.09,0.093037926,21,"Suburban",2.782767161,87.25520384,30135.08362,0,24,2275,43,19,5.945380746,3.991221007,28.34135915,78,5.12
0,9224995.385,1228904.819,0.98,0.073108399,14,"Suburban",1.197398255,2.529295346,9558.129564,1,26,273585,46,8,10.03597078,-1.618934366,9.436297413,79,16.74
1,334899.0518,45540.90967,0.61,0.070836641,15,"Urban",3.277338528,44.13770133,76183.44179,1,381,850440,24,3,6.688842825,2.441657625,27.76702434,80,13.82
1,6977517.728,450806.2594,0.53,0.021387799,14,"Rural",2.530916765,23.20306841,32090.3563,1,218,681114,10,1,7.141661024,2.598069071,10.44922775,81,4.32
0,3003679.375,178546.5754,0,0.056950157,24,"Rural",4.028756479,39.47459675,46500.35541,1,494,454211,47,1,5.947467259,1.505549788,23.67336554,82,14.16
1,9182929.071,1625511.969,0.57,0.167109321,1,"Suburban",2.222593987,42.18297119,24444.47982,0,346,584084,39,7,15.3030655,-1.051334769,8.139433366,83,4.38
1,9703239.319,950328.876,0.35,0.088116961,10,"Rural",3.371930804,74.92042551,63104.39076,1,378,189061,39,13,7.948601286,1.083842168,20.42329817,84,1.69
1,9417945.701,1175530.502,0.1,0.12580104,0,"Rural",3.150734087,10.28836537,30847.35312,1,10,218316,10,1,14.80078334,-4.598013087,10.3877702,85,4.86
0,4794996.673,619778.2602,0.54,0.113683197,14,"Urban",1.018849702,51.74580641,96834.07516,1,17,345359,36,16,9.665328672,2.618957922,15.76561475,86,20.23
0,8709397.356,481080.5482,1,0.262895573,18,"Suburban",1.289557593,56.85528439,70591.80731,1,245,292438,25,14,11.3976748,-4.004113517,20.54061023,87,9.07
0,8408195.365,831962.9687,0.65,0.271684401,3,"Suburban",2.16147285,49.92160275,14535.50536,1,206,428153,50,4,11.32246204,-1.032490742,18.07759265,88,23.95
1,3261813.239,239645.9911,0.61,0.148394135,10,"Urban",4.528940324,73.45545205,42252.78913,0,258,462210,10,12,19.54118951,-3.963812123,17.71213721,89,16
0,8217946.965,394582.003,0,0.099716629,4,"Rural",1.58805982,38.99533433,39156.68887,1,112,84458,19,12,7.974186659,3.370744458,2.904744234,90,13.41
1,389739.955,-27704.64404,0.31,0.03293341,2,"Suburban",3.843577322,94.5517393,53890.46396,1,205,172748,46,17,4.945997813,0.503023934,8.223228133,91,4.85
0,5979735.927,1025507.546,0.01,0.286067461,12,"Rural",4.893466265,48.69854081,84351.13677,1,27,364792,45,15,18.32404687,1.909551202,17.58333941,92,5.3
0,2233592.562,67903.62172,0.6,0.019007857,9,"Suburban",4.162270211,57.55017705,58758.7795,1,457,675187,15,10,4.321946497,1.825821698,1.531199009,93,24.15
1,1173041.85,-48443.70027,0.9,0.089997433,10,"Suburban",1.971781447,82.72755151,7094.111082,0,71,558967,16,3,16.85403407,3.416062317,8.268683398,94,19.9
1,732476.442,12756.42641,0.64,0.090121794,17,"Suburban",4.633461042,28.24837449,65886.15398,1,176,96654,2,20,3.854083014,-3.674305967,7.646371944,95,5.35
0,6900354.91,1185430.106,0.17,0.096799985,1,"Suburban",1.372428626,8.445000848,1818.264497,1,202,672015,29,20,13.51576235,1.597281404,8.245827195,96,10.74
1,3272039.993,141675.6915,0.41,0.050121766,6,"Rural",2.872567767,71.07061386,78216.08559,1,248,839826,4,12,3.860275452,0.751340544,16.53267549,97,4.3
0,7240057.575,662975.1641,0.44,0.235165268,8,"Rural",4.550167631,48.8181737,66996.97117,1,118,574165,50,1,18.53863057,-4.691028774,17.87685027,98,9.85
1,658571.1528,30572.4115,0.44,0.037626861,9,"Rural",3.565062837,89.75392084,31569.78018,1,9,399222,29,1,11.73515737,-2.985770912,27.36094184,99,15.54
1,3155019.201,496957.862,0.81,0.190837091,17,"Rural",2.654578259,98.28532482,29951.73865,1,86,40851,31,10,7.256202944,-2.324284586,12.19490042,100,4.24
1,5437803.316,320701.6599,0.82,0.038029962,22,"Urban",2.171251467,40.51182571,80029.02666,1,23,200771,17,18,3.666132724,-4.274436246,27.8707886,101,12.28
0,7812432.851,1198407.723,0.53,0.022090156,6,"Suburban",2.500397621,42.12846261,78550.3325,1,455,108850,10,15,8.052652487,-1.452801941,19.906676,102,3.73
1,3175284.998,210295.2626,0.49,0.272919422,6,"Suburban",3.035767124,41.38829762,35877.93308,1,240,74280,27,2,14.39538066,-4.727974913,27.46715148,103,0
1,6390653.746,722852.534,0.12,0.057848501,2,"Suburban",2.276175719,33.13085686,30595.82508,0,73,763374,41,17,8.314066795,0.531834923,25.17069095,104,18.53
0,8905255.501,540248.0687,0.23,0.246553796,11,"Urban",4.875871448,78.38702268,56422.6541,1,27,204850,15,8,5.675788586,-2.884990394,20.93989086,105,13
0,6207096.433,203541.5789,0.28,0.16384463,6,"Rural",4.732310612,76.14058049,1828.200338,1,472,818176,44,9,11.97077952,-2.129968945,11.32707109,106,23.23
0,2286435.43,209687.7119,0.47,0.024279099,16,"Suburban",4.482685873,48.38584218,9184.036761,1,349,33621,31,20,8.938615204,4.104716262,7.992202983,107,14.08
1,243968.6125,-170125.3003,0.76,0.286679009,0,"Rural",2.687319342,5.421460422,13490.78942,1,81,535952,21,11,4.150318485,0.028168491,7.44935163,108,2.27
0,8587294.717,848051.8333,0.54,0.074841389,4,"Rural",3.765207077,31.64637085,19355.76996,1,84,629543,41,6,3.925771815,-2.309860688,28.61304129,109,14.67
1,251755.5298,-49765.90607,0.18,0.258033958,15,"Urban",4.611317228,29.93800161,51689.79454,1,199,988244,46,14,14.44177781,0.984617582,28.79864145,110,16.19
0,8818284.664,1324775.726,0.39,0.051474192,14,"Urban",4.401717951,81.29763737,99231.94957,1,43,420615,45,1,19.51876601,-2.983285651,22.02010983,111,13.84
0,5221592.088,256153.2989,0.1,0.256328922,1,"Rural",2.657308056,9.669981768,65608.72677,1,488,441274,26,7,5.428787346,-4.256043142,26.63008354,112,21.06
1,9333342.092,1296425.725,0.14,0.004955415,8,"Suburban",1.449544197,80.76186253,7068.58065,1,263,187250,38,9,15.68982342,-4.790936456,27.65088873,113,1.24
1,7988243.124,439875.2519,0.8,0.154022357,6,"Suburban",1.302521455,67.24918157,53032.35803,1,92,406737,36,11,2.664527347,4.515290454,15.8351297,114,1.29
0,9987026.464,1484032.657,0.05,0.231063331,3,"Urban",3.308256181,73.51170445,50167.87603,1,339,350991,17,16,8.249942462,2.246108241,19.24273103,115,11.42
0,3486524.762,487706.1643,0.39,0.28050386,19,"Urban",3.570511741,43.78910557,15272.61377,1,447,797734,3,19,10.6270749,2.999481483,13.14388044,116,6.61
0,7633442.527,1337290.034,0.11,0.272851439,17,"Urban",4.399370418,68.2928538,92106.96451,1,84,371651,14,2,6.106191961,4.809177282,13.13623216,117,6.17
1,3985056.964,117074.8025,0.75,0.246067836,20,"Urban",2.170060081,61.29386553,44635.75952,1,300,959789,49,15,11.06198991,4.316287034,2.114438641,118,0.97
1,4801505.887,71612.16491,0.5,0.266569214,3,"Urban",1.669881962,77.12903933,99461.35492,0,423,659145,13,3,17.76967413,2.369131986,13.58082235,119,0.13
1,6308086.437,565463.7564,0.12,0.060566686,12,"Urban",2.516023333,45.23021361,42587.15723,0,296,90297,41,4,18.94432128,1.939870698,20.53120453,120,13.52
1,8735569.259,712352.4228,0.42,0.085971104,0,"Urban",2.414300495,47.80973686,61187.81257,1,135,42737,27,20,2.910582133,-1.631500031,13.23748282,121,8.35
0,9833750.868,731298.2789,0.86,0.087401589,23,"Suburban",1.529875816,64.71404605,11371.49111,1,454,673826,1,7,6.165072746,-3.959827482,26.29988063,122,7.69
0,7597088.691,1364080.441,0.9,0.113739125,2,"Urban",3.68913061,11.69967187,45968.55456,1,281,496564,17,12,19.60354443,0.737225484,10.64432562,123,11.81
1,4226843.088,225566.5237,0.17,0.11860288,15,"Urban",3.034767763,44.18820039,24637.82351,1,489,24376,48,4,6.137949798,0.762532951,4.84777935,124,24.23
1,4216786.944,237806.7322,0.93,0.163822042,21,"Suburban",3.884491024,97.22313368,83720.91506,0,59,867478,50,10,14.16143967,4.522372854,24.53520203,125,21.39
0,7356615.881,1191617.672,0.98,0.048804049,3,"Suburban",2.410764481,4.717679686,78608.0389,1,397,965843,34,6,5.815620184,-0.574291933,20.54448963,126,12.59
1,2408140.603,186924.9435,1,0.207682752,24,"Rural",2.302808846,32.28446756,82593.81996,1,359,861746,14,14,7.770946273,1.908076243,8.012764987,127,16.69
0,1071445.897,79779.04933,0.54,0.051102395,22,"Urban",2.890303412,32.09687209,72637.33434,1,488,155747,17,3,4.63430077,0.749706274,16.55708643,128,11.94
1,3531882.391,115417.7046,0.77,0.093782236,24,"Urban",4.509629382,63.7129478,83435.63914,1,342,434717,3,17,17.26970368,-3.232397709,12.65371782,129,21.43
0,2884896.909,161220.2174,0.48,0.151500194,15,"Urban",1.161125227,11.47423558,20882.04627,1,241,303474,34,11,17.77032651,0.920643078,28.22693352,130,18.15
1,2936190.389,10336.42072,0.65,0.239135728,18,"Urban",4.219331269,63.22585906,45752.33388,1,465,734884,40,10,6.64133765,0.401167094,18.61263064,131,2.69
1,2261457.664,-1768.679007,0.62,0.222101301,0,"Rural",2.475950451,10.40898382,69492.84111,1,368,999867,25,10,16.64820666,-0.060940061,5.593288574,132,4.89
1,340087.3553,-43878.07713,0.71,0.194014773,4,"Suburban",4.418476103,10.40041109,64101.8573,1,342,386330,2,10,7.806591351,0.134229336,15.56230513,133,3.23
0,210847.249,-88149.46212,0.32,0.047576205,18,"Suburban",4.208812035,73.09015236,71919.0938,1,98,129626,34,3,2.881369035,-3.36012028,26.01414814,134,3.99
0,9875791.234,1120842.553,0.79,0.164566558,21,"Urban",2.39504499,33.08938221,23201.57993,1,62,507823,26,15,15.40345155,-0.365222688,20.47340343,135,1.9
1,4280130.119,336320.8065,0.84,0.027146504,23,"Urban",3.775506141,97.76487182,10745.0362,1,264,461933,31,17,12.33247873,1.056532718,25.43111021,136,10.05
0,3791333.069,240327.9448,0.15,0.11383159,10,"Urban",1.638531027,4.697940707,91763.85123,1,113,678481,9,18,6.21326643,-0.105508013,8.261580102,137,24.3
1,6798648.887,1076932.209,0.73,0.124641443,12,"Rural",4.585126209,45.06555971,56457.01766,0,429,927053,30,19,5.80699507,-0.113138049,26.76218993,138,9.17
1,2170333.61,61212.90711,0.47,0.01290362,19,"Rural",2.617964258,12.20045783,16228.76653,1,146,408973,20,19,19.53684404,-4.224822902,22.91272862,139,0.91
0,9470109.134,1243443.077,0.81,0.082922442,4,"Suburban",2.822502461,35.78651771,79550.22161,1,216,297303,21,12,17.38751978,-3.09225848,22.13849891,140,7.37
0,7861834.156,1477335.429,0.37,0.286739191,20,"Urban",3.823036204,99.82402261,91578.06373,1,256,1632,29,5,16.38616826,-1.790273072,11.04969102,141,8.76
1,918037.4598,44912.9305,0.41,0.28613615,3,"Urban",4.283360947,88.99540866,17786.78834,1,316,519618,25,16,3.432336464,-0.806530061,26.74208385,142,0.22
0,4269127.099,700354.2541,0.94,0.106345789,3,"Urban",1.945370973,5.784116477,81923.83307,1,316,102766,38,15,15.34855821,0.939374439,19.50140194,143,17.15
0,8820656.558,311646.16,0.24,0.013886933,3,"Urban",3.64540056,56.76232854,93389.28107,1,362,706265,44,15,5.076264203,3.633451045,25.70334483,144,16.1
1,9490751.037,910362.4455,0.8,0.054549387,3,"Rural",2.567992176,65.13440818,93897.79843,0,258,81651,25,6,19.57038992,-3.408352619,11.46817222,145,20.67
1,4734573.851,277669.3879,0.38,0.11827312,19,"Suburban",2.474811696,21.74392777,91501.4897,1,194,168928,9,12,1.989694571,-4.849119698,5.223910641,146,11.83
1,6099778.647,825042.3933,0.63,0.28438613,20,"Suburban",3.760103296,15.36545177,55095.68022,0,347,596268,39,2,7.690631188,-0.507628692,10.63777823,147,22.78
1,1662624.893,209451.8408,0.33,0.04321852,17,"Rural",2.548733097,90.53373233,36264.92041,0,14,106834,44,20,9.144308975,-0.678971026,14.20266607,148,18.92
1,9866529.049,690413.1788,0.54,0.229291237,17,"Urban",2.384434001,96.91282771,1720.007962,0,304,900529,26,9,16.65985532,0.519012185,16.46881388,149,0.76
0,2290309.202,234907.9261,0.45,0.033496079,15,"Suburban",4.343553633,99.19739287,7030.31046,1,103,730102,37,4,15.55823354,3.332217714,15.81346726,150,11.07
0,9406478.302,673928.1705,0.16,0.294396016,8,"Suburban",1.405104495,79.1864156,43455.06251,1,245,951810,16,5,8.124850754,3.02360551,16.83558318,151,17.26
0,6464687.259,829826.4913,0.13,0.115103333,17,"Rural",3.703570491,66.68670487,40533.28849,1,245,838700,37,8,11.74564558,-3.999567156,25.40946719,152,8.88
1,6092495.704,557638.7675,0,0.232795127,21,"Urban",1.994901575,35.22729497,19286.67705,1,312,113223,12,10,16.87630811,4.339953667,5.932936139,153,8.92
0,5153400.382,867065.9702,1,0.103434734,1,"Suburban",1.061992967,17.96843292,40152.52278,1,268,730648,24,7,1.345792251,-3.895856053,10.16548756,154,16.59
1,2249084.286,251038.056,0.94,0.188672994,20,"Urban",1.667057075,8.819079337,18290.35648,1,224,942154,26,14,16.24138389,1.345705085,26.76964622,155,9.73
0,1757910.947,147982.9297,0.31,0.058412809,3,"Suburban",3.426646119,69.63644939,85030.33402,1,220,399705,20,5,18.99102448,1.724062936,17.25328793,156,25
1,2197600.647,-24276.9831,0.74,0.044660285,11,"Rural",3.836508766,78.6876181,30521.29291,0,311,87997,9,16,1.609225908,1.798774872,17.91830624,157,7.19
0,1798897.922,134367.7537,0.45,0.281481178,6,"Urban",1.084231134,82.81891159,60257.87067,1,412,691307,23,15,1.866038754,-2.346488283,14.86381379,158,20.13
0,7759741.62,508092.9454,0.7,0.275376536,14,"Rural",1.145701773,91.46273533,50781.46314,1,366,628987,39,5,7.545766106,-1.696549082,16.92026441,159,4.26
1,3551423.956,107282.5197,0.91,0.266353213,6,"Suburban",4.610168459,88.1130268,6136.325682,1,217,865771,29,3,2.667621712,0.486768751,6.744312186,160,21.65
1,630877.2143,8716.308866,1,0.188004602,21,"Rural",1.293223272,99.97438595,94281.13823,1,4,280886,31,10,10.10624553,-3.004125042,16.85914008,161,2.83
